Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,YrSold,SalePrice
413,20,FV,NA,4403,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,7,5,2009,2009,CompShg,MetalSd,MetalSd,Ex,TA,Av,GLQ,578,Unf,0,892,1470,Y,1478,0,0,1478,1,0,2,1,2,1,Gd,7,Typ,1,Gd,Attchd,2009,Fin,2,484,TA,TA,Y,0,2010,222000
414,30,RM,56,8960,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Artery,1Fam,1Story,5,6,1927,1950,CompShg,WdShing,Wd Shng,TA,TA,No,Unf,0,Unf,0,1008,1008,Y,1028,0,0,1028,0,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1927,Unf,2,360,TA,TA,Y,0,2010,115000
415,60,RL,59,11228,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,2Story,7,5,1993,1993,CompShg,VinylSd,VinylSd,Gd,TA,No,BLQ,50,GLQ,531,499,1080,Y,1080,1017,0,2097,0,1,2,1,3,1,Gd,9,Typ,1,TA,Attchd,1993,Unf,3,678,TA,TA,Y,196,2008,228000
416,20,RL,73,8899,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,7,5,2007,2007,CompShg,VinylSd,VinylSd,Gd,TA,Av,GLQ,24,Unf,0,1316,1340,Y,1340,0,0,1340,0,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,2007,Fin,2,396,TA,TA,Y,100,2007,181134
417,60,RL,74,7844,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,6,7,1978,1978,CompShg,HdBoard,HdBoard,TA,TA,No,ALQ,209,Unf,0,463,672,Y,672,728,0,1400,0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1978,Fin,2,440,TA,TA,Y,0,2006,149500
418,70,RL,86,22420,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Feedr,1Fam,2Story,6,6,1918,1950,CompShg,Wd Sdng,Stucco,Gd,TA,No,BLQ,1128,Unf,0,242,1370,N,1370,1254,0,2624,1,0,2,1,4,1,TA,10,Typ,1,Gd,Detchd,1918,Unf,3,864,TA,TA,N,0,2007,239000
419,50,RL,60,8160,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1.5Fin,5,6,1940,1950,CompShg,MetalSd,MetalSd,TA,TA,No,ALQ,312,Unf,0,444,756,N,756,378,0,1134,1,0,1,1,3,1,TA,7,Typ,0,NA,Detchd,1940,Unf,1,240,TA,TA,P,0,2007,126000
420,20,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,6,1968,1968,CompShg,VinylSd,VinylSd,TA,TA,No,BLQ,775,Unf,0,281,1056,Y,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1968,Unf,1,304,TA,TA,Y,0,2010,142000
421,90,RM,78,7060,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Duplex,SFoyer,7,5,1997,1998,CompShg,VinylSd,VinylSd,Gd,Gd,Gd,GLQ,1309,Unf,0,35,1344,Y,1344,0,0,1344,2,0,2,0,2,2,TA,8,Typ,0,NA,Attchd,1997,Fin,4,784,TA,TA,Y,0,2008,206300
422,20,RL,NA,16635,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Norm,1Fam,1Story,6,7,1977,2000,CompShg,CemntBd,CmentBd,Gd,TA,No,ALQ,1246,Unf,0,356,1602,Y,1602,0,0,1602,0,1,2,0,3,1,Gd,8,Typ,1,TA,Attchd,1977,Fin,2,529,TA,TA,Y,240,2009,215000
423,20,RL,100,21750,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Artery,1Fam,1Story,5,5,1954,1954,CompShg,HdBoard,HdBoard,TA,TA,No,Unf,0,Unf,0,988,988,Y,988,0,0,988,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1954,RFn,2,520,TA,TA,N,0,2008,113000
424,60,RL,80,9200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,8,5,1998,1998,CompShg,VinylSd,VinylSd,Gd,TA,No,GLQ,986,Unf,0,484,1470,Y,1470,1160,0,2630,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1998,Fin,3,696,TA,TA,Y,0,2008,315000
425,20,RL,72,9000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,6,5,1956,1956,CompShg,Wd Sdng,Wd Sdng,Gd,TA,No,LwQ,616,Unf,0,580,1196,Y,1196,0,0,1196,1,0,1,0,2,1,TA,6,Typ,1,Gd,Attchd,1956,RFn,1,297,TA,TA,Y,0,2008,139000
426,60,RM,60,3378,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,Norm,1Fam,2Story,7,8,1946,1992,CompShg,HdBoard,HdBoard,TA,TA,No,Unf,0,Unf,0,651,651,Y,707,682,0,1389,0,0,1,1,3,1,TA,6,Typ,2,Gd,Detchd,1947,Unf,1,240,TA,TA,P,0,2009,135000
427,80,RL,NA,12800,Pave,NA,Reg,Low,AllPub,Inside,Mod,Norm,1Fam,SLvl,7,5,1989,1989,CompShg,Wd Sdng,Wd Sdng,Gd,TA,Gd,GLQ,1518,Unf,0,0,1518,Y,1644,0,0,1644,1,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1989,Fin,2,569,TA,TA,Y,80,2009,275000
428,20,RL,77,8593,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,4,6,1957,1957,CompShg,MetalSd,MetalSd,TA,TA,No,Rec,288,Unf,0,619,907,Y,907,0,0,907,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1964,Unf,1,352,TA,TA,Y,0,2008,109008
429,20,RL,64,6762,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,7,5,2007,2007,CompShg,VinylSd,VinylSd,Gd,TA,No,GLQ,664,Unf,0,544,1208,Y,1208,0,0,1208,1,0,2,0,2,1,Gd,6,Typ,0,NA,Attchd,2007,RFn,2,628,TA,TA,Y,105,2007,195400
430,20,RL,130,11457,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,6,5,1988,1988,CompShg,HdBoard,HdBoard,Gd,TA,Mn,GLQ,1005,Unf,0,387,1392,Y,1412,0,0,1412,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1988,Unf,2,576,TA,TA,Y,0,2009,175000
431,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Twnhs,2Story,6,5,1971,1971,CompShg,HdBoard,HdBoard,TA,TA,No,ALQ,387,Unf,0,96,483,Y,483,504,0,987,0,0,1,1,2,1,TA,4,Typ,0,NA,Detchd,1971,Unf,1,264,TA,TA,Y,0,2008,85400
432,50,RM,60,5586,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,Feedr,1Fam,1.5Fin,6,7,1920,1998,CompShg,MetalSd,MetalSd,TA,TA,No,Unf,0,Unf,0,901,901,Y,1088,110,0,1198,0,0,1,0,4,1,TA,7,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,2008,79900
433,160,RM,24,1920,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,2Story,5,5,1971,1971,CompShg,HdBoard,HdBoard,TA,TA,No,ALQ,471,Unf,0,294,765,Y,765,600,0,1365,1,0,1,1,2,1,TA,6,Min1,0,NA,Detchd,1971,Unf,2,440,TA,TA,Y,240,2007,122500
434,60,RL,100,10839,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,2Story,6,5,1997,1998,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,926,926,Y,926,678,0,1604,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1997,Fin,2,470,TA,TA,Y,0,2008,181000
435,180,RM,21,1890,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Twnhs,SFoyer,4,7,1972,1972,CompShg,CemntBd,CmentBd,Gd,TA,Av,ALQ,495,Unf,0,135,630,Y,630,0,0,630,1,0,1,0,1,1,TA,3,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,88,2008,81000
436,60,RL,43,10667,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,PosN,1Fam,2Story,7,6,1996,1996,CompShg,VinylSd,VinylSd,Gd,TA,Av,GLQ,385,ALQ,344,70,799,Y,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1996,RFn,2,550,TA,TA,Y,158,2009,212000
437,50,RM,40,4400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1.5Fin,6,8,1920,1950,CompShg,Stucco,Stucco,Fa,TA,No,Unf,0,Unf,0,648,648,Y,734,384,0,1118,0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,1990,Unf,2,440,TA,TA,Y,0,2006,116000
438,45,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1.5Unf,6,7,1926,2004,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,Unf,0,Unf,0,884,884,Y,904,0,0,904,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1926,Unf,1,180,TA,TA,Y,0,2009,119000
439,30,RL,40,4280,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,6,1913,2002,CompShg,WdShing,Stucco,TA,TA,No,LwQ,365,Unf,0,75,440,N,694,0,0,694,0,0,1,0,2,1,Gd,4,Typ,1,Gd,Detchd,1990,Unf,1,352,Gd,TA,P,0,2007,90350
440,50,RL,67,12354,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1.5Fin,6,8,1920,2000,CompShg,Wd Sdng,Wd Sdng,TA,Fa,Mn,Unf,0,Unf,0,684,684,Y,684,512,0,1196,0,0,1,0,3,1,Gd,7,Typ,0,NA,Detchd,2005,Unf,2,528,TA,TA,Y,0,2009,110000
441,20,RL,105,15431,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,10,5,2008,2008,CompShg,VinylSd,VinylSd,Ex,TA,Gd,GLQ,1767,ALQ,539,788,3094,Y,2402,0,0,2402,1,0,2,0,2,1,Ex,10,Typ,2,Gd,Attchd,2008,Fin,3,672,TA,TA,Y,0,2009,555000
442,90,RL,92,12108,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Duplex,1Story,4,4,1955,1955,CompShg,VinylSd,VinylSd,TA,TA,No,ALQ,133,Unf,0,1307,1440,N,1440,0,0,1440,0,0,2,0,4,2,Fa,8,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,2008,118000
443,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1.5Fin,5,7,1930,1992,CompShg,MetalSd,MetalSd,TA,TA,No,Unf,0,Unf,0,1078,1078,Y,1128,445,0,1573,0,0,2,0,3,1,TA,8,Typ,1,Gd,Detchd,1930,Unf,2,360,TA,TA,P,0,2008,162900
444,120,RL,53,3922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,1Story,7,5,2006,2007,CompShg,WdShing,Wd Shng,Ex,TA,Av,Unf,0,Unf,0,1258,1258,Y,1258,0,0,1258,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007,Fin,3,648,TA,TA,Y,144,2007,172500
445,60,RL,70,8750,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,7,5,1994,1995,CompShg,VinylSd,VinylSd,Gd,TA,No,GLQ,642,Unf,0,273,915,Y,933,975,0,1908,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1994,Unf,2,493,TA,TA,Y,144,2008,210000
446,20,RL,73,9855,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,6,5,1956,1956,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,Unf,0,Unf,0,1436,1436,Y,1689,0,0,1689,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1956,Unf,2,480,TA,TA,Y,0,2009,127500
447,20,RL,137,16492,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,PosA,1Fam,1Story,6,6,1966,2002,CompShg,BrkFace,Plywood,TA,TA,No,ALQ,247,Rec,713,557,1517,Y,1888,0,0,1888,0,0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1966,Fin,2,578,TA,TA,Y,0,2010,190000
448,60,RL,NA,11214,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,2Story,7,5,1998,1999,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,930,930,Y,956,930,0,1886,0,0,2,1,4,1,Gd,10,Typ,1,TA,Attchd,1998,Fin,2,431,TA,TA,Y,89,2006,199900
449,50,RM,50,8600,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Norm,1Fam,1.5Fin,6,6,1937,1950,CompShg,MetalSd,MetalSd,TA,TA,No,Unf,0,Unf,0,780,780,Y,780,596,0,1376,0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,1937,Unf,1,198,TA,TA,N,0,2006,119500
450,50,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1.5Fin,3,7,1948,2002,CompShg,MetalSd,MetalSd,TA,TA,No,ALQ,331,Unf,0,318,649,Y,679,504,0,1183,0,0,1,1,2,1,TA,6,Typ,0,NA,Detchd,1981,Unf,1,308,TA,TA,Y,0,2007,120000
451,30,RM,70,5684,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,6,8,1930,2005,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,Unf,0,Unf,0,813,813,Y,813,0,0,813,0,0,1,0,2,1,Gd,5,Typ,0,NA,Detchd,1932,Unf,1,270,Fa,Fa,N,0,2006,110000
452,20,RL,62,70761,Pave,NA,IR1,Low,AllPub,Inside,Mod,Norm,1Fam,1Story,7,5,1975,1975,WdShngl,Plywood,Plywood,Gd,TA,Gd,ALQ,655,Unf,0,878,1533,Y,1533,0,0,1533,1,0,2,0,2,1,Gd,5,Typ,2,TA,Attchd,1975,Unf,2,576,TA,TA,Y,200,2006,280000
453,60,RL,NA,9303,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,2Story,6,5,1996,1997,CompShg,VinylSd,VinylSd,Ex,TA,No,ALQ,742,Unf,0,130,872,Y,888,868,0,1756,1,0,2,1,3,1,TA,7,Typ,0,NA,Attchd,1996,Fin,2,422,TA,TA,Y,144,2007,204000
454,60,FV,75,9000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,8,5,2008,2008,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,768,768,Y,786,804,0,1590,0,0,2,1,3,1,Gd,6,Typ,0,NA,Attchd,2008,RFn,2,676,TA,TA,Y,0,2009,210000
455,90,RL,63,9297,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Duplex,1Story,5,5,1976,1976,CompShg,Plywood,Plywood,TA,TA,No,ALQ,1606,Unf,0,122,1728,Y,1728,0,0,1728,2,0,2,0,4,2,TA,8,Typ,0,NA,Detchd,1976,Unf,2,560,TA,TA,Y,0,2006,188000
456,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,7,6,1973,1973,CompShg,HdBoard,HdBoard,TA,TA,No,ALQ,916,Unf,0,326,1242,Y,1242,0,0,1242,0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1973,Unf,2,528,TA,TA,Y,0,2007,175500
457,70,RM,34,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,5,5,1916,1950,CompShg,AsbShng,AsbShng,TA,TA,No,Unf,0,Unf,0,624,624,N,624,720,0,1344,0,0,1,0,4,1,TA,7,Typ,0,NA,Detchd,1916,Unf,3,513,Fa,Fa,Y,0,2008,98000
458,20,RL,NA,53227,Pave,NA,IR1,Low,AllPub,CulDSac,Mod,Norm,1Fam,1Story,4,6,1954,1994,Tar&Grv,Plywood,Plywood,Gd,TA,Gd,BLQ,1116,Unf,0,248,1364,Y,1663,0,0,1663,1,0,1,0,2,1,Gd,6,Min1,2,Gd,Attchd,1954,Fin,2,529,TA,TA,Y,224,2008,256000
459,70,RM,NA,5100,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,8,7,1925,1996,CompShg,Stucco,Wd Shng,TA,TA,No,Unf,0,Unf,0,588,588,Y,833,833,0,1666,0,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1925,Unf,1,228,TA,TA,Y,192,2008,161000
460,50,RL,NA,7015,Pave,NA,IR1,Bnk,AllPub,Corner,Gtl,Norm,1Fam,1.5Fin,5,4,1950,1950,CompShg,MetalSd,MetalSd,TA,TA,No,LwQ,185,Unf,0,524,709,Y,979,224,0,1203,1,0,1,0,3,1,Gd,5,Typ,1,TA,Detchd,1950,Unf,1,352,TA,TA,Y,0,2009,110000
461,60,FV,75,8004,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,RRAn,1Fam,2Story,8,5,2009,2009,CompShg,VinylSd,VinylSd,Gd,TA,No,GLQ,544,Unf,0,288,832,Y,832,1103,0,1935,1,0,2,1,3,1,TA,8,Typ,0,NA,BuiltIn,2009,Fin,2,552,TA,TA,Y,0,2009,263435
462,70,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Feedr,1Fam,2Story,7,9,1936,2007,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,No,ALQ,350,BLQ,210,0,560,Y,575,560,0,1135,1,0,1,0,3,1,Gd,6,Typ,0,NA,Detchd,1971,RFn,2,576,TA,TA,Y,256,2009,155000
463,20,RL,60,8281,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,5,1965,1965,CompShg,MetalSd,MetalSd,TA,TA,No,Rec,553,BLQ,311,0,864,Y,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,1,Po,Detchd,1965,Unf,1,360,TA,TA,Y,0,2009,62383
464,70,RL,74,11988,Pave,NA,IR1,HLS,AllPub,Inside,Mod,Norm,1Fam,2Story,6,7,1934,1995,CompShg,Stucco,Stucco,TA,TA,No,LwQ,326,Unf,0,389,715,Y,849,811,0,1660,0,0,1,1,3,1,TA,6,Typ,1,Gd,Detchd,1939,Unf,1,240,TA,TA,Y,0,2008,188700
465,20,RL,60,8430,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Norm,1Fam,1Story,5,5,1978,1978,CompShg,HdBoard,HdBoard,Gd,TA,No,Rec,616,Unf,0,424,1040,Y,1040,0,0,1040,0,0,2,0,3,1,TA,5,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,2009,124000
466,120,RM,NA,3072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,1Story,7,5,2004,2004,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,1375,1375,Y,1414,0,0,1414,0,0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,2004,Fin,2,398,TA,TA,Y,144,2006,178740
467,20,RL,85,10628,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,7,5,1970,1970,Tar&Grv,Plywood,Plywood,TA,Gd,Gd,GLQ,778,Unf,0,499,1277,Y,1277,0,0,1277,1,0,1,0,2,1,TA,5,Typ,1,Po,Attchd,1970,Unf,2,526,TA,TA,Y,0,2007,167000
468,70,RL,79,9480,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Artery,1Fam,2Story,5,7,1942,1995,CompShg,MetalSd,MetalSd,TA,TA,No,LwQ,386,Unf,0,342,728,Y,888,756,0,1644,0,0,1,1,3,1,Gd,7,Typ,2,Gd,Attchd,1942,Unf,1,312,TA,TA,Y,168,2007,146500
469,20,RL,98,11428,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,8,5,2006,2006,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,1626,1626,Y,1634,0,0,1634,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,866,TA,TA,Y,0,2007,250000
470,60,RL,76,9291,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,RRNe,1Fam,2Story,6,5,1993,1993,CompShg,HdBoard,HdBoard,Gd,TA,No,GLQ,426,Unf,0,406,832,Y,832,878,0,1710,0,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,1993,RFn,2,506,TA,TA,Y,144,2008,187000
471,120,RL,NA,6820,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,TwnhsE,1Story,8,5,1985,1985,CompShg,HdBoard,HdBoard,Gd,TA,Av,GLQ,368,BLQ,1120,0,1488,Y,1502,0,0,1502,1,0,1,1,1,1,Gd,4,Typ,0,NA,Attchd,1985,RFn,2,528,TA,TA,Y,0,2010,212000
472,60,RL,92,11952,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,PosA,1Fam,2Story,7,6,1977,1977,WdShake,WdShing,Plywood,Gd,TA,No,Unf,0,Unf,0,808,808,Y,1161,808,0,1969,0,0,2,1,3,1,TA,8,Typ,1,Gd,Attchd,1977,RFn,2,534,TA,TA,Y,0,2007,190000
473,180,RM,35,3675,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,SLvl,6,5,2005,2005,CompShg,VinylSd,VinylSd,Gd,TA,Gd,GLQ,459,Unf,0,88,547,Y,1072,0,0,1072,1,0,1,0,2,1,TA,5,Typ,0,NA,Basment,2005,RFn,2,525,TA,TA,Y,0,2008,148000
474,20,RL,110,14977,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,8,5,2006,2007,CompShg,VinylSd,VinylSd,Ex,TA,Gd,GLQ,1350,Unf,0,626,1976,Y,1976,0,0,1976,1,0,2,0,2,1,Gd,7,Typ,1,Ex,Attchd,2006,RFn,3,908,TA,TA,Y,250,2007,440000
475,120,RL,41,5330,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,1Story,8,5,2000,2000,CompShg,CemntBd,CmentBd,Gd,TA,Av,GLQ,1196,Unf,0,298,1494,Y,1652,0,0,1652,1,0,2,0,2,1,Ex,6,Typ,0,NA,Attchd,2000,RFn,2,499,TA,TA,Y,96,2007,251000
476,20,RL,80,8480,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,5,6,1963,1963,CompShg,HdBoard,HdBoard,TA,TA,No,GLQ,630,Unf,0,340,970,Y,970,0,0,970,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1996,Unf,2,624,TA,TA,Y,0,2007,132500
477,20,RL,75,13125,Pave,NA,Reg,Lvl,AllPub,Inside,Mod,Norm,1Fam,1Story,6,5,1997,1998,CompShg,VinylSd,VinylSd,Gd,TA,Gd,GLQ,994,Unf,0,484,1478,Y,1493,0,0,1493,1,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,1997,Fin,2,508,TA,TA,Y,140,2008,208900
478,60,RL,105,13693,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,9,5,2006,2006,CompShg,VinylSd,VinylSd,Gd,TA,Av,Unf,0,Unf,0,2153,2153,Y,2069,574,0,2643,0,0,2,1,3,1,Ex,9,Typ,1,Gd,BuiltIn,2006,Fin,3,694,TA,TA,Y,414,2007,380000
479,20,RL,79,10637,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,8,5,2007,2008,CompShg,VinylSd,VinylSd,Ex,TA,Gd,GLQ,1288,Unf,0,417,1705,Y,1718,0,0,1718,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,826,TA,TA,Y,208,2009,297000
480,30,RM,50,5925,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Norm,1Fam,1Story,4,7,1937,2000,CompShg,Stucco,Stucco,Fa,TA,No,Rec,168,Unf,0,739,907,Y,1131,0,0,1131,0,0,1,0,2,1,TA,7,Typ,0,NA,Detchd,1995,Unf,2,672,TA,TA,Y,0,2007,89471
481,20,RL,98,16033,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Norm,1Fam,1Story,9,5,2004,2005,CompShg,VinylSd,VinylSd,Ex,TA,Gd,GLQ,1261,Unf,0,572,1833,Y,1850,0,0,1850,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2004,Fin,3,772,TA,TA,Y,519,2006,326000
482,20,RL,72,11846,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,Norm,1Fam,1Story,9,5,2003,2004,CompShg,VinylSd,VinylSd,Ex,TA,Gd,GLQ,1567,Unf,0,225,1792,Y,1792,0,0,1792,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2003,Fin,3,874,TA,TA,Y,206,2006,374000
483,70,RM,50,2500,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,2Story,7,8,1915,2005,CompShg,Stucco,Stucco,TA,TA,No,ALQ,299,Unf,0,611,910,Y,916,910,0,1826,1,0,1,1,4,1,Ex,7,Min2,1,Gd,Attchd,1915,Unf,1,164,Fa,Fa,Y,0,2009,155000
484,120,RM,32,4500,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Norm,Twnhs,1Story,6,5,1998,1998,CompShg,VinylSd,VinylSd,Ex,TA,No,GLQ,897,Unf,0,319,1216,Y,1216,0,0,1216,1,0,2,0,2,1,TA,5,Typ,0,NA,Attchd,1998,Unf,2,402,TA,TA,Y,0,2006,164000
485,20,RL,NA,7758,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,5,7,1962,2001,CompShg,HdBoard,Plywood,TA,TA,No,ALQ,588,Unf,0,411,999,Y,999,0,0,999,1,0,1,0,3,1,Gd,6,Typ,0,NA,Detchd,1963,Unf,1,264,TA,TA,Y,0,2007,132500
486,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,7,1950,2007,CompShg,MetalSd,MetalSd,TA,TA,No,ALQ,607,Unf,0,506,1113,Y,1113,0,0,1113,0,0,1,0,3,1,Gd,5,Typ,1,Gd,Attchd,1950,Unf,1,264,TA,TA,Y,0,2009,147000
